"Variable","Estimate","Std_Error","z_value","p_value","Significance"
"(Intercept)",4.01944505723295,0.95375158927145,4.21435214624735,2.50496187418233e-05,"***"
"log(GVT_AGRI_FORESTRY_PC)",0.158747392477942,0.868162198821177,0.182854531899103,0.854912159589153,""
"log(GVT_COMMUNICATION_PC)",0.132693139091252,0.567409671923107,0.233857732177032,0.815095428190208,""
"log(GVT_ECON_AFFAIRS_PC)",0.512538764166585,0.854300181810174,0.599951603756619,0.54853848960639,""
"log(GVT_EDUCATION_PC)",-1.40071119739274,0.876683936144152,-1.59773795280585,0.11010130849804,""
"log(GVT_ENERGY_PC)",-0.271872333861657,0.26477396315584,-1.02680917194882,0.30451032965331,""
"log(GVT_ENV_PROTECTION_PC)",0.412457334695713,0.504999794976911,0.816747529005574,0.414072723598931,""
"log(GVT_HEALTH_PC)",-0.0522090034307453,0.81098233830653,-0.0643774851370582,0.948669657089506,""
"log(GVT_HOUSING_AMEN_PC)",-1.38660911186142,0.776403212688519,-1.7859394309561,0.074109065648857,"."
"log(GVT_SOCIAL_PROTECTION_PC)",0.730323810807684,0.638111845436917,1.14450752799868,0.252413217702475,""
"log(GVT_OTHER_PC)",1.16236728566238,0.780368522613652,1.48951072727705,0.136352930666232,""
"log(GVT_TRANSPORT_PC)",0.533742039236024,0.578128145676367,0.923224449852006,0.355890249806435,""
"I(log(GVT_AGRI_FORESTRY_PC)^2)",-0.118238045563502,0.255833858763844,-0.462167307075039,0.643961345988033,""
"I(log(GVT_COMMUNICATION_PC)^2)",0.023949623157993,0.0654917338369343,0.365689251984446,0.714596967130394,""
"I(log(GVT_ECON_AFFAIRS_PC)^2)",-0.0744474106515289,0.283398377787473,-0.262695260406038,0.792785470173712,""
"I(log(GVT_EDUCATION_PC)^2)",0.37969443330065,0.517200581260151,0.734133810088788,0.462867189163658,""
"I(log(GVT_ENERGY_PC)^2)",0.0194364354411678,0.0173917773794222,1.11756464087246,0.26375297748051,""
"I(log(GVT_ENV_PROTECTION_PC)^2)",0.0170677625576273,0.0200316038753718,0.852041736838237,0.394190927506221,""
"I(log(GVT_HEALTH_PC)^2)",-0.111289582876961,0.323957822798289,-0.343531086595353,0.731198958420264,""
"I(log(GVT_HOUSING_AMEN_PC)^2)",0.00170471577761645,0.0935949529676639,0.0182137575111065,0.985468327550624,""
"I(log(GVT_SOCIAL_PROTECTION_PC)^2)",-0.014689595765074,0.0705669114128596,-0.208165491034897,0.835099752512221,""
"I(log(GVT_OTHER_PC)^2)",-0.0896569314643811,0.195583572817154,-0.458407268938681,0.646659870345488,""
"I(log(GVT_TRANSPORT_PC)^2)",0.135489550400016,0.138612453642492,0.977470254941661,0.328336396673992,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_COMMUNICATION_PC))",0.115837199660777,0.170142145328895,0.680826020130737,0.495981583598764,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ECON_AFFAIRS_PC))",-0.176719934929485,0.421442568363913,-0.419321511862297,0.674981177068063,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_EDUCATION_PC))",0.221268546146504,0.596532344841579,0.370924641488243,0.710693661069131,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ENERGY_PC))",0.0213179188791013,0.0730008954784769,0.292022703822674,0.770269265047761,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_ENV_PROTECTION_PC))",0.0228340570641426,0.125540818911557,0.181885519483739,0.855672568721722,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_HEALTH_PC))",-0.0690289175167972,0.333067788902069,-0.207251856279304,0.83581317090051,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_HOUSING_AMEN_PC))",0.200288710095927,0.166393164153308,1.20370756283827,0.228702628126861,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_SOCIAL_PROTECTION_PC))",0.0448243741305671,0.195549340390246,0.229222834713294,0.818695725490335,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_OTHER_PC))",0.0691566130627635,0.481669048187417,0.143577033490129,0.885834477345715,""
"I(log(GVT_AGRI_FORESTRY_PC) * log(GVT_TRANSPORT_PC))",-0.185053656399757,0.254677168229095,-0.726620519956825,0.467458454315831,""
"I(log(GVT_COMMUNICATION_PC) * log(GVT_ECON_AFFAIRS_PC))",0.0868171886715013,0.155694161800775,0.557613642460093,0.577108238620932,""
"I(log(GVT_COMMUNICATION_PC) * log(GVT_EDUCATION_PC))",-0.0453906737281424,0.34206268729221,-0.132696945368283,0.894433058744654,""
"I(log(GVT_COMMUNICATION_PC) * log(GVT_ENERGY_PC))",-0.061423583454321,0.0340235813532309,-1.80532386689763,0.0710240169753809,"."
"I(log(GVT_COMMUNICATION_PC) * log(GVT_ENV_PROTECTION_PC))",0.000958840297768716,0.0473733153847269,0.0202400927606989,0.983851845030388,""
