iso3,M49,Country_name,group1,group2,group3,years,CV_GDP,CV_POP,CV_CC,CV_GE,CV_ODA_PC,CV_FDI,CV_FDI_PC,CV_FDI_GDP,GVT_TOTAL,GVT_ECON_AFFAIRS,GVT_AGRI_FORESTRY,GVT_ENERGY,GVT_INDUSTRY,GVT_TRANSPORT,GVT_COMMUNICATION,GVT_ENV_PROTECTION,GVT_HOUSING_AMEN,GVT_HEALTH,GVT_EDUCATION,GVT_SOCIAL_PROTECTION,GVT_OTHER,GVT_TOTAL_PC,GVT_ECON_AFFAIRS_PC,GVT_AGRI_FORESTRY_PC,GVT_ENERGY_PC,GVT_INDUSTRY_PC,GVT_TRANSPORT_PC,GVT_COMMUNICATION_PC,GVT_ENV_PROTECTION_PC,GVT_HOUSING_AMEN_PC,GVT_HEALTH_PC,GVT_EDUCATION_PC,GVT_SOCIAL_PROTECTION_PC,GVT_OTHER_PC,X1.14,X1.56,X1.57,X1.58,X1.62,X1.63,X1.64,X1.77,X1.78,X1.79,X1.80
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2000,4367000000,20130327,4.787233829,0,6.756472188,170000,0.00844497,0.003892833,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,24,110.1,104.7,115.2,131.7,126.9,136.2,14.3,55.5,55.1,56
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2001,4367000000,20284307,4.774569273,1.081081033,20.23041681,680000,0.033523452,0.01557133,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,33,107,101.9,111.9,127.4,122.9,131.8,14.3,55.2,54.7,55.6
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2002,4367000000,21378117,4.761904716,2.162162066,57.22159903,50000000,2.338840226,1.144950767,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,36,103.8,99.1,108.4,123.1,118.9,127.2,14.3,54.4,53.9,54.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2003,4553000000,22733049,4.761904716,9.729729652,67.66492169,57800000,2.542553795,1.269492642,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,41,100.6,95.9,105.1,118.7,114.4,122.9,14.3,53.4,52.9,53.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2004,5146000000,23560654,6.403940678,16.91542244,96.28460739,186900000,7.932716978,3.631947143,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,50,97.2,92.4,101.6,114.2,109.8,118.4,17.15714286,52.4,51.9,52.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2005,6167000000,24404567,1.463414669,9.313725471,115.3512942,271000000,11.10447893,4.394357062,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,58,93.7,89.1,98,109.7,105.3,113.8,20.01428571,51.3,50.9,51.8
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2006,6925000000,25424094,1.951219559,4.390244007,113.9009464,238000000,9.361198869,3.436823105,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,58,90.1,85.6,94.4,105.1,100.7,109.3,22.87142857,50.3,49.8,50.7
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2007,8556000000,25909852,0.970873773,4.368932247,192.305703,188690000,7.282558001,2.205352969,3303,1556,246,280,30,330,76,12,106,203,357,116,952,127.4804657,60.05437623,9.494457938,10.80670009,1.157860724,12.73646797,2.933247168,0.46314429,4.091107892,7.834857567,13.77854262,4.477061467,36.74278031,63,86.7,82.2,90.9,100.7,96.3,104.8,25.72857143,49,48.6,49.5
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2008,10297000000,26482622,0.485436887,3.398058176,181.6742853,46033740,1.738262171,0.447059726,9288,1326,276,254,14,416,42,14,108,238,451,184,6966,350.7205593,50.07057081,10.42192877,9.591195313,0.528648561,15.70841437,1.585945682,0.528648561,4.078146039,8.987025529,17.03003577,6.94795251,263.0404195,64,83.3,79,87.4,96.3,92,100.4,28.58571429,47.8,47.3,48.2
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2009,12066000000,27466101,0.95693779,2.87081337,222.5697788,197512730,7.191145551,1.636936267,8940,1286,381,119,15,331,23,27,140,268,580,146,6492,325.4921403,46.82135262,13.87164491,4.332613501,0.546127752,12.05121906,0.837395887,0.983029954,5.097192354,9.757482505,21.11693975,5.315643454,236.3640911,63,80,75.8,84,92.2,88,96.2,31.44285714,46.5,46.1,47
