ISO3,M49,Country_name,Region.Name,Developed.Developing,Income.group,TimePeriod,GDP.nominal..USD.million.,Pop..million.,CV_CC,CV_GE,CV_ODA_PC,CV_TAX_GDP,CV_TDS,CV_FDI,CV_TDS_GDP,CV_TDS_PC,CV_FDI_PC,Foreign.direct.investment..net.inflows....of.GDP.,GVT_TOTAL,GVT_ECON_AFFAIRS,GVT_AGRI_FORESTRY,GVT_ENERGY,GVT_INDUSTRY,GVT_TRANSPORT,GVT_COMMUNICATION,GVT_ENV_PROTECTION,GVT_HOUSING_AMEN,GVT_HEALTH,GVT_EDUCATION,GVT_SOCIAL_PROTECTION,GVT_OTHER,Total.function_per_capita,Economic.affairs_per_capita,Agriculture..forestry..fishing.and.hunting_per_capita,Fuel.and.energy_per_capita,Mining..manufacturing.and.construction_per_capita,Transport_per_capita,Communication_per_capita,Environment.protection_per_capita,Housing.and.community.amenities_per_capita,Health_per_capita,Education_per_capita,Social.protection_per_capita,Special.others_per_capita,X1.78,X1.79,X1.80,X1.82,X1.81,X1.83,X1.84,X1.85,X1.77,X1.61,X1.59,X1.60,X1.64,X1.63,X1.62,X1.58,X1.56,X1.57,X1.65,X1.67,X1.66,X1.68,X1.69,X1.70,X1.72,X1.71,X1.73,X1.75,X1.76,X1.74,X1.14,X1.16,X1.17,X1.18,X1.19,X1.20,X1.21,X1.22,X1.23,X1.24,X1.25,X1.26,X1.27,X1.28,X1.32,X1.33,X1.34,X1.29,X1.30,X1.31,X1.35,X1.36,X1.37,X1.38,X1.39,X1.40,X1.41,X1.42,X1.43,X1.44,X1.45,X1.46,X1.47,X1.48,X1.49,X1.50,X1.51,X1.52,X1.53,X1.54,X1.55,X1.15,X1.1,X1.2,X1.3,X1.6,X1.8,X1.10,X1.12,X1.4,X1.7,X1.9,X1.11,X1.13,X1.5
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2000,4367000000,20130327,4.787233829,0,6.756472188,6.967597575,10894252.3,170000,0.249467651,0.541186057,0.00844497,0.003892833,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,55.5,55.1,56,1128,2332.2,1204.3,9.1,429.8,14.3,59683,110740,51057,136.2,126.9,131.7,115.2,110.1,104.7,131295,69971,61324,11.48305225,8.535747528,21.88525772,26.3072319,35.34367371,66.11009216,10.27801132,9.617086411,10.13209152,24,59.1,61.9,60.5,31.6,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,4.2,3.2,3.7,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2001,4367000000,20284307,4.774569273,1.081081033,20.23041681,6.967597575,10894252.3,680000,0.249467651,0.537077865,0.033523452,0.01557133,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,55.2,54.7,55.6,1120.9,2319.5,1198.6,9.1,429.8,14.3,57746,107225,49479,131.8,122.9,127.4,111.9,107,101.9,127247,67802,59445,11.49520111,8.535747528,21.88525772,26.3072319,35.34367371,66.11009216,10.27801132,9.617086411,10.13149071,33,59.1,61.9,60.5,31.5,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,4.5,3.5,4,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2002,4367000000,21378117,4.761904716,2.162162066,57.22159903,6.967597575,10894252.3,50000000,0.249467651,0.50959831,2.338840226,1.144950767,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,54.4,53.9,54.8,1152.6,2386.7,1234.2,9.1,429.8,14.3,55448,103124,47676,127.2,118.9,123.1,108.4,103.8,99.1,122364,65122,57242,12.29810047,9.356639862,22.57015419,26.3072319,35.34367371,66.11009216,11.01431274,10.29401493,10.85396671,36,59.1,61.9,60.5,31.4,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,4.9,3.8,4.3,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2003,4553000000,22733049,4.761904716,9.729729652,67.66492169,6.967597575,10894252.3,57800000,0.239276352,0.479225303,2.542553795,1.269492642,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,53.4,52.9,53.8,1189.8,2465.3,1275.5,9.1,429.8,14.3,55504,103127,47623,122.9,114.4,118.7,105.1,100.6,95.9,121395,64731,56664,13.10074997,10.1775322,23.25505066,26.3072319,35.34367371,66.11009216,11.75061417,10.97094345,11.57633495,41,59.1,61.9,60.5,31.6,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,5.3,4.1,4.7,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2004,5146000000,23560654,6.403940678,16.91542244,96.28460739,6.967597575,10894252.3,186900000,0.211703309,0.462391761,7.932716978,3.631947143,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,52.4,51.9,52.8,1193.4,2473.8,1280.4,9.1,429.8,17.15714286,55730,103462,47732,118.4,109.8,114.2,101.6,97.2,92.4,120817,64525,56292,13.91026688,10.99842358,23.93994522,26.3072319,35.34367371,66.11009216,12.48691559,11.64787197,12.29813099,50,59.1,61.9,60.5,31.9,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,5.8,4.4,5.1,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2005,6167000000,24404567,1.463414669,9.313725471,115.3512942,6.967597575,10894252.3,271000000,0.176654002,0.446402196,11.10447893,4.394357062,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,51.3,50.9,51.8,1193,2473.4,1280.4,9.144444444,441.2111111,20.01428571,54433,101026,46593,113.8,105.3,109.7,98,93.7,89.1,117491,62813,54678,14.72655392,11.81931591,24.62484169,26.3072319,35.34367371,66.11009216,13.22321701,12.32480049,13.01924896,58,59.1,61.9,60.5,32.3,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,6.2,4.7,5.5,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2006,6925000000,25424094,1.951219559,4.390244007,113.9009464,6.967597575,10894252.3,238000000,0.157317723,0.428501102,9.361198869,3.436823105,2229,1038,104,183,7,443,50,37,36,96,324,61,635,87.67274067,40.82741356,4.090607909,7.197896609,0.275329379,17.42441638,1.966638418,1.455312429,1.415979661,3.775945762,12.74381695,2.39929887,24.97630791,50.3,49.8,50.7,1196.9,2481.8,1284.9,9.188888889,452.6222222,22.87142857,53084,98399,45315,109.3,100.7,105.1,94.4,90.1,85.6,114112,61099,53013,15.54241657,12.64020729,25.30973816,26.3072319,35.42487335,66.11009216,13.95951843,13.00172901,13.74011707,58,59.1,61.9,60.5,32.7,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,6.7,5.1,5.9,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2007,8556000000,25909852,0.970873773,4.368932247,192.305703,5.283456604,6154687.8,188690000,0.071934173,0.237542376,7.282558001,2.205352969,3303,1556,246,280,30,330,76,12,106,203,357,116,952,127.4804657,60.05437623,9.494457938,10.80670009,1.157860724,12.73646797,2.933247168,0.46314429,4.091107892,7.834857567,13.77854262,4.477061467,36.74278031,49,48.6,49.5,1168.5,2423.3,1254.8,9.233333333,464.0333333,25.72857143,51995,96353,44358,104.8,96.3,100.7,90.9,86.7,82.2,111365,59687,51678,16.65024948,13.84123325,25.99463463,26.3072319,35.50686646,66.11009216,14.63405704,13.75113297,14.42998695,63,59.1,61.9,60.5,33.2,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,7.3,5.4,6.4,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2008,10297000000,26482622,0.485436887,3.398058176,181.6742853,6.08796493,8030776.5,46033740,0.07799142,0.303247031,1.738262171,0.447059726,9288,1326,276,254,14,416,42,14,108,238,451,184,6966,350.7205593,50.07057081,10.42192877,9.591195313,0.528648561,15.70841437,1.585945682,0.528648561,4.078146039,8.987025529,17.03003577,6.94795251,263.0404195,47.8,47.3,48.2,1144,2372.9,1228.8,9.277777778,475.4444444,28.58571429,50127,92841,42714,100.4,92,96.3,87.4,83.3,79,107118,57473,49645,17.55429459,14.77911758,26.67952919,26.3072319,35.5892601,66.11009216,15.30240631,14.50771046,15.11708355,64,59.1,61.9,60.5,33.7,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,7.9,5.8,6.9,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
AFG,4,Afghanistan,Asia and Oceania,Developing economies,Low income,2009,12066000000,27466101,0.95693779,2.87081337,222.5697788,8.481758361,10739033.8,197512730,0.089002435,0.390992293,7.191145551,1.636936267,8940,1286,381,119,15,331,23,27,140,268,580,146,6492,325.4921403,46.82135262,13.87164491,4.332613501,0.546127752,12.05121906,0.837395887,0.983029954,5.097192354,9.757482505,21.11693975,5.315643454,236.3640911,46.5,46.1,47,1137.6,2359.9,1222.3,9.322222222,486.8555556,31.44285714,48712,90160,41448,96.2,88,92.2,84,80,75.8,103657,55684,47973,18.3897934,15.62858391,27.36442566,26.3072319,35.67205048,66.11009216,15.96456814,15.27146053,15.80149364,63,59.1,61.9,60.5,34.3,73.9,73.7,73.8,98.2,97.4,97.8,41,40.8,40.9,43.2,43,43.1,55.3,53.3,54.3,30.7,29.9,30.3,62.1,60,61,15.3,15,15.1,22.9,21.2,22.1,48.7,49.1,48.9,57.2,59.9,58.6,8.5,6.2,7.4,NA,NA,NA,NA,60,2,16,42,58,1,1,3,1,1
