firm,cost,output,lprice,lshare,cprice,cshare,fprice,fshare,capital,labor,fuel
1,0.1304,4,6009.7002,0.2001,92.650002,0.12729999,33.199001,0.67259997,0.000179168,4.34E-06,0.00264147
2,0.213,8,6869.4702,0.32910001,64.945,0.4197,18,0.25119999,0.00137649,1.02043E-05,0.00297253
3,0.4887,14,5438.8901,0.2994,86.110001,0.4571,34.150002,0.24349999,0.00259418,0.000026902,0.00348458
4,0.61589998,50,9204.2402,0.29629999,90.470001,0.098099999,32.07,0.6056,0.000667843,1.98269E-05,0.0116305
5,0.72930002,60,7972.71,0.1478,75.463997,0.2967,33.707001,0.55549997,0.00286737,1.35199E-05,0.0120191
6,0.76059997,65,8971.8896,0.2802,41.243,0.12819999,28.539,0.5916,0.00236425,2.37542E-05,0.0157669
7,0.63630003,67,6696.5,0.2447,58.257999,0.36739999,25.4,0.38789999,0.00401278,2.32513E-05,0.00971735
8,1.1474,90,7189.6699,0.28549999,79.100998,0.20730001,21.503,0.5072,0.00300699,0.000045563,0.0270642
9,1.7704999,153,10963.9,0.25549999,57.612,0.1918,46.16,0.55269998,0.00589429,4.12593E-05,0.0211992
10,1.3422,183,5063.4902,0.096000001,74.43,0.26289999,35.509998,0.64109999,0.00474089,2.54471E-05,0.024232199
11,2.2367001,198,7046.5,0.21690001,64.945,0.1969,38,0.5862,0.00678122,6.88484E-05,0.0344982
12,2.5592999,243,7000.8101,0.1727,81.75,0.1948,33.436001,0.63249999,0.00609849,6.31343E-05,0.048413601
13,2.2586999,295,8218.4004,0.1772,71.940002,0.16230001,39.200001,0.66049999,0.00509573,4.87007E-05,0.038063701
14,2.0532,374,7884.9399,0.2054,82.485001,0.1208,26.301399,0.67379999,0.00300693,5.34852E-05,0.052591901
15,3.1503999,378,7895.4302,0.097999997,60.277,0.1996,42.4683,0.70240003,0.0104322,3.91035E-05,0.052105699
16,4.5050001,467,8410.3398,0.2474,76.300003,0.1917,26.85,0.56089997,0.0113186,0.00013252,0.094126798
17,2.0358,617,9547.7197,0.1194,81.75,0.30000001,18.49,0.58060002,0.00747083,2.54589E-05,0.063936703
18,3.7255001,643,7332.1299,0.26660001,64.505997,0.2428,21.1619,0.49059999,0.0140227,0.000135461,0.086351298
19,6.6213999,856,8033.7202,0.1463,67.68,0.20829999,39.5812,0.64539999,0.0203788,0.000120581,0.10964
20,3.0427001,869,8372.96,0.103,68.226997,0.2913,21.066999,0.60570002,0.012991,3.74298E-05,0.087481096
21,5.5970998,938,7703.2598,0.1577,77.196999,0.2342,25.4,0.6081,0.016980501,0.000114583,0.13397799
22,5.8488002,1025,7093.3198,0.2164,68.226997,0.2455,22.279301,0.5381,0.021045599,0.000178433,0.141289
23,8.6372004,1090,8507.9199,0.23989999,39.126999,0.1796,33.900002,0.58050001,0.039646301,0.000243545,0.147902
24,7.4394999,1293,6821.0898,0.2031,78.224998,0.32969999,21.4305,0.46720001,0.031355701,0.000221513,0.162186
25,6.0064998,1328,6680.77,0.1082,51.817001,0.26109999,25.231899,0.63069999,0.030266101,9.72797E-05,0.150139
26,7.6236,1340,6438.4199,0.093000002,79.220001,0.1877,38.1483,0.71929997,0.018062999,0.000110119,0.143746
27,9.4059,1412,7960.8999,0.089100003,40.692001,0.1567,41.529999,0.75419998,0.036221001,0.000105273,0.17081501
